# Kpath    Energy-Level (in eV)
# Band    1
       1.68139       6.96810
       1.69475       7.05284
       1.70811       7.12632
       1.72147       7.18779
       1.73483       7.23694
       1.74818       7.27390
       1.76154       7.29919
       1.77490       7.31363
       1.78826       7.31821
       1.78826       7.31821
       1.81497       7.30193
       1.84169       7.25807
       1.86841       7.19297
       1.89512       7.11154
       1.92184       7.01755
       1.94856       6.91396
       1.97527       6.80319
       2.00199       6.76125
       2.02870       6.85410
       2.05542       6.95222
       2.08214       7.05319
       2.10885       7.15033
       2.13557       7.00584
       2.16229       6.84954
       2.18900       6.69355
       2.21572       6.53690
       2.24243       6.38400
       2.26915       6.23379
       2.29587       6.08681
       2.32258       5.94145
       2.34930       5.80236
       2.37602       5.66778
       2.40273       5.54198
       2.42945       5.41354
       2.45616       5.29457
       2.48288       5.18161
       2.50960       5.09345
       2.53631       5.30549
       2.56303       5.52150
       2.58974       5.73581
       2.61646       5.91589
       2.64318       5.87577
       2.66989       5.79512
       2.69661       5.71642
       2.72333       5.64194
       2.75004       5.57218
       2.77676       5.45475
       2.80347       5.37244
       2.83019       5.28984
       2.85691       5.20723
       2.88362       5.12514
       2.91034       5.03415
       2.93706       4.95454
       2.96377       4.88009
       2.99049       4.81323
       3.01720       4.75699
       3.04392       4.72412
       3.07064       4.69604
       3.09735       4.68664
# Band    8
       3.09735       5.13109
       3.07064       5.13372
       3.04392       5.14162
       3.01720       5.15471
       2.99049       5.17307
       2.96377       5.19667
       2.93706       5.22555
       2.91034       5.25955
       2.88362       5.29886
       2.85691       5.34335
       2.83019       5.39289
       2.80347       5.44766
       2.77676       5.50755
       2.75004       7.03582
       2.72333       6.82890
       2.69661       6.61686
       2.66989       6.40288
       2.64318       6.19002
       2.61646       6.02150
       2.58974       6.07758
       2.56303       6.17277
       2.53631       6.27493
       2.50960       6.38190
       2.48288       6.49293
       2.45616       6.60742
       2.42945       6.72463
       2.40273       6.84356
       2.37602       6.96261
       2.34930       7.07958
       2.32258       7.19079
       2.29587       7.29059
       2.26915       7.37046
       2.24243       7.41960
       2.21572       7.42909
       2.18900       7.39820
       2.16229       7.33487
       2.13557       7.25042
       2.10885       7.16473
       2.08214       7.31559
       2.05542       7.46743
       2.02870       7.61574
       2.00199       7.75941
       1.97527       7.89735
       1.94856       8.02822
       1.92184       8.15024
       1.89512       8.26087
       1.86841       8.35640
       1.84169       8.43169
       1.81497       8.48043
       1.78826       8.49726
       1.78826       8.49726
       1.77490       8.49317
       1.76154       8.48153
       1.74818       8.46363
       1.73483       8.44118
       1.72147       8.41599
       1.70811       8.38977
       1.69475       8.36381
       1.68139       8.33897
       1.66803       8.31566
       1.65468       8.29400
       1.64132       8.27377
       1.62796       8.25476
       1.61460       8.23671
       1.60124       8.21936
       1.58789       8.20250
       1.57453       8.18596
       1.56117       8.16961
       1.54781       8.15338
       1.53445       8.13722
       1.52110       8.12111
       1.50774       8.10505
       1.49438       8.08907
       1.48102       8.07319
       1.46766       8.05745
       1.45430       8.04190
       1.44095       8.02659
       1.42759       8.01156
       1.41423       7.99687
       1.40087       7.98343
       1.38751       8.07299
       1.37416       8.17491
       1.36080       8.27743
       1.34744       8.38010
       1.33408       8.48239
       1.32072       8.58371
       1.30737       8.68335
       1.29401       8.78054
       1.28065       8.87438
       1.26729       8.96385
       1.25393       9.04796
       1.24057       9.12560
       1.22722       9.19577
       1.21386       9.25757
       1.20050       9.31030
       1.18714       9.35355
       1.17378       9.38673
       1.16043       9.41085
       1.14707       9.42556
       1.13371       9.43252
       1.13371       8.73663
       1.11057       8.76273
       1.08744       9.26831
       1.06430       8.92250
       1.04116       8.98463
       1.01803       8.83395
       0.99489       8.68209
       0.97175       8.53138
       0.94861       8.88325
       0.92548       8.75529
       0.90234       8.08542
       0.87920       7.94167
       0.85607       7.80069
       0.83293       7.66269
       0.80979       7.52783
       0.78666       7.39641
       0.76352       7.80524
       0.74038       9.62596
       0.71725       7.02199
       0.69411       6.90440
       0.67097       6.79051
       0.64783       6.68040
       0.62470       6.57419
       0.60156       6.47201
       0.57842       6.37410
       0.55529       6.28087
       0.53215       7.57298
       0.50901       6.63373
       0.48588       6.06159
       0.46274       6.11158
       0.43960       6.27339
       0.41646       6.45936
       0.39333       6.64861
       0.37019       6.83660
       0.34705       6.03695
       0.32392       5.87923
       0.30078       5.72071
       0.27764       5.57585
       0.25451       5.87586
       0.23137       5.32750
       0.20823       5.29026
       0.18510       5.25691
       0.16196       5.22745
       0.13882       5.20191
       0.11568       5.18028
       0.09255       5.16257
       0.06941       5.14880
       0.04627       5.13895
       0.02314       5.13305
       0.00000       5.13110
